ID;$/レベル;経験値テーブル;攻撃力テーブル;防御力テーブル;武器力係数テーブル;防具力係数テーブル;最大HPテーブル
;31;50000;42;4;112;121;80
;32;65000;43;4;114;122;80
;33;80000;44;5;116;123;80
;34;100000;45;5;118;124;80
;35;120000;46;5;120;125;80
;36;140000;47;5;122;126;80
;37;170000;48;5;124;127;80
;38;200000;49;5;126;128;80
;39;230000;50;5;128;129;80
;40;260000;51;5;130;130;80
;41;300000;52;5;132;131;80
;42;340000;53;5;134;132;80
;43;380000;54;5;136;133;80
;44;420000;55;6;138;134;80
;45;460000;56;6;140;135;80
;46;500000;57;6;142;136;80
;47;550000;58;6;144;137;80
;48;600000;59;6;146;138;80
;49;650000;60;6;148;139;80
;50;700000;61;6;150;140;80
;51;750000;62;6;152;141;80
;52;800000;63;6;154;142;80
;53;850000;64;6;156;143;80
;54;900000;65;6;158;144;80
;55;950000;66;6;160;145;80
;56;1000000;67;6;162;146;80
;57;1060000;68;7;164;147;80
;58;1120000;69;7;166;148;80
;59;1180000;70;7;168;149;80
;60;1240000;71;7;170;150;80
;61;1300000;72;7;172;151;80
;62;1360000;73;7;174;152;80
;63;1420000;74;7;176;153;80
;64;1480000;75;7;178;154;80
;65;1540000;76;7;180;155;80
;66;1600000;77;7;182;156;80
;67;1660000;78;7;184;157;80
;68;1720000;79;7;186;158;80
;69;1780000;80;7;188;159;80
;70;1840000;81;8;190;160;80
;71;1900000;82;8;192;161;80
;72;1960000;83;8;194;162;80
;73;2030000;84;8;196;163;80
;74;2100000;85;8;198;164;80
;75;2170000;86;8;200;165;80
;76;2240000;87;8;202;166;80
;77;2310000;88;8;204;167;80
;78;2380000;89;8;206;168;80
;79;2450000;90;8;208;169;80
;80;2520000;91;8;210;170;80
;81;2590000;92;8;212;171;80
;82;2660000;93;8;214;172;80
;83;2730000;94;8;216;173;80
;84;2800000;95;9;218;174;80
;85;2870000;96;9;220;175;80
;86;2940000;97;9;222;176;80
;87;3010000;98;9;224;177;80
;88;3080000;99;9;226;178;80
;89;3150000;100;9;228;179;80
;90;3220000;101;9;230;180;80
;91;3290000;102;9;232;181;80
;92;3360000;103;9;234;182;80
;93;3430000;104;9;236;183;80
;94;3500000;105;9;238;184;80
;95;3570000;106;9;240;185;80
;96;3640000;107;9;242;186;80
;97;3710000;108;9;244;187;80
;98;3780000;109;9;246;188;80
;99;4000000;110;9;248;189;80
;100;2000000000;112;10;250;190;80
4002;マリサOTHER;0;0;0;0;0;0
;1;10;6;0;52;70;80
;2;30;7;0;54;74;80
;3;60;8;0;56;78;80
;4;100;9;0;58;82;80
;5;150;11;0;60;85;80
;6;230;12;1;62;88;80
;7;350;13;1;64;91;80
;8;500;14;1;66;94;80
;9;700;15;1;68;97;80
;10;950;17;1;70;100;80
;11;1200;18;2;72;101;80
;12;1450;19;2;74;102;80
;13;1750;20;2;76;103;80
;14;2100;21;2;78;104;80
;15;2500;23;2;80;105;80
;16;3000;24;2;82;106;80
;17;3500;25;3;84;107;80
;18;4200;26;3;86;108;80
;19;5000;27;3;88;109;80
;20;6000;29;3;90;110;80
;21;7000;30;3;92;111;80
;22;8000;31;3;94;112;80
;23;9500;32;3;96;113;80
;24;11000;33;4;98;114;80
;25;12500;35;4;100;115;80
;26;14500;36;4;102;116;80
;27;17500;37;4;104;117;80
;28;22000;38;4;106;118;80
;29;30000;39;4;108;119;80
;30;40000;41;4;110;120;80
;31;50000;42;4;112;121;80
;32;65000;43;4;114;122;80
;33;80000;44;5;116;123;80
;34;100000;45;5;118;124;80
;35;120000;46;5;120;125;80
;36;140000;47;5;122;126;80
;37;170000;48;5;124;127;80
;38;200000;49;5;126;128;80
;39;230000;50;5;128;129;80
;40;260000;51;5;130;130;80
;41;300000;52;5;132;131;80
;42;340000;53;5;134;132;80
;43;380000;54;5;136;133;80
;44;420000;55;6;138;134;80
;45;460000;56;6;140;135;80
;46;500000;57;6;142;136;80
;47;550000;58;6;144;137;80
;48;600000;59;6;146;138;80
;49;650000;60;6;148;139;80
;50;700000;61;6;150;140;80
;51;750000;62;6;152;141;80
;52;800000;63;6;154;142;80
;53;850000;64;6;156;143;80
;54;900000;65;6;158;144;80
;55;950000;66;6;160;145;80
;56;1000000;67;6;162;146;80
;57;1060000;68;7;164;147;80
;58;1120000;69;7;166;148;80
;59;1180000;70;7;168;149;80
;60;1240000;71;7;170;150;80
;61;1300000;72;7;172;151;80
;62;1360000;73;7;174;152;80
;63;1420000;74;7;176;153;80
;64;1480000;75;7;178;154;80
;65;1540000;76;7;180;155;80
;66;1600000;77;7;182;156;80
;67;1660000;78;7;184;157;80
;68;1720000;79;7;186;158;80
;69;1780000;80;7;188;159;80
;70;1840000;81;8;190;160;80
;71;1900000;82;8;192;161;80
;72;1960000;83;8;194;162;80
;73;2030000;84;8;196;163;80
;74;2100000;85;8;198;164;80
;75;2170000;86;8;200;165;80
;76;2240000;87;8;202;166;80
;77;2310000;88;8;204;167;80
;78;2380000;89;8;206;168;80
;79;2450000;90;8;208;169;80
;80;2520000;91;8;210;170;80
;81;2590000;92;8;212;171;80
;82;2660000;93;8;214;172;80
;83;2730000;94;8;216;173;80
;84;2800000;95;9;218;174;80
;85;2870000;96;9;220;175;80
;86;2940000;97;9;222;176;80
;87;3010000;98;9;224;177;80
;88;3080000;99;9;226;178;80
;89;3150000;100;9;228;179;80
;90;3220000;101;9;230;180;80
;91;3290000;102;9;232;181;80
;92;3360000;103;9;234;182;80
;93;3430000;104;9;236;183;80
;94;3500000;105;9;238;184;80
;95;3570000;106;9;240;185;80
;96;3640000;107;9;242;186;80
;97;3710000;108;9;244;187;80
;98;3780000;109;9;246;188;80
;99;4000000;110;9;248;189;80
;100;2000000000;112;10;250;190;80
4011;アリスOTHER;0;0;0;0;0;0
;1;30;4;0;52;70;10
4012;人形OTHER;0;0;0;0;0;0
;1;10;3;0;52;70;5
