$/WE=壁|||||||||||||||||||||||||||||||||||||||
$/WE=壁端(破壊不可能)|||||||||||||||||||||||||||||||||||||||
$/WT=水|||||||||||||||||||||||||||||||||||||||
$/-1=通路|||||||||||||||||||||||||||||||||||||||
$/0以上の整数=部屋（数字が部屋番号）|||||||||||||||||||||||||||||||||||||||
$/Y0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
$/Y20|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
$/Y30|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE
WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE|WE
$/Y40|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
